"Abrangência";"Operação";"Cargo";"Quantitativo";"Porcentagem (%)";
"Brasil";"Administrador";"Deputado Distrital";"21";"3,03"
"Brasil";"Administrador";"Deputado Estadual";"396";"57,14"
"Brasil";"Administrador";"Deputado Federal";"219";"31,60"
"Brasil";"Administrador";"Governador";"4";"0,58"
"Brasil";"Administrador";"Senador";"10";"1,44"
"Brasil";"Administrador";"Senador 1º Suplente";"20";"2,89"
"Brasil";"Administrador";"Senador 2º Suplente";"19";"2,74"
"Brasil";"Administrador";"Vice-governador";"4";"0,58"
"Brasil";"Advogado";"Deputado Distrital";"56";"3,07"
"Brasil";"Advogado";"Deputado Estadual";"926";"50,77"
"Brasil";"Advogado";"Deputado Federal";"656";"35,96"
"Brasil";"Advogado";"Governador";"23";"1,26"
"Brasil";"Advogado";"Presidente";"1";"0,05"
"Brasil";"Advogado";"Senador";"44";"2,41"
"Brasil";"Advogado";"Senador 1º Suplente";"55";"3,02"
"Brasil";"Advogado";"Senador 2º Suplente";"38";"2,08"
"Brasil";"Advogado";"Vice-governador";"24";"1,32"
"Brasil";"Advogado";"Vice-presidente";"1";"0,05"
"Brasil";"Agenciador de Propaganda";"Deputado Federal";"1";"50,00"
"Brasil";"Agenciador de Propaganda";"Senador 1º Suplente";"1";"50,00"
"Brasil";"Agente Administrativo";"Deputado Distrital";"7";"5,51"
"Brasil";"Agente Administrativo";"Deputado Estadual";"87";"68,50"
"Brasil";"Agente Administrativo";"Deputado Federal";"28";"22,05"
"Brasil";"Agente Administrativo";"Senador";"1";"0,79"
"Brasil";"Agente Administrativo";"Senador 1º Suplente";"2";"1,57"
"Brasil";"Agente Administrativo";"Senador 2º Suplente";"2";"1,57"
"Brasil";"Agente de Saúde e Sanitarista";"Deputado Distrital";"3";"3,41"
"Brasil";"Agente de Saúde e Sanitarista";"Deputado Estadual";"58";"65,91"
"Brasil";"Agente de Saúde e Sanitarista";"Deputado Federal";"25";"28,41"
"Brasil";"Agente de Saúde e Sanitarista";"Governador";"1";"1,14"
"Brasil";"Agente de Saúde e Sanitarista";"Senador";"1";"1,14"
"Brasil";"Agente de Serviços Funerários e Embalsamador";"Deputado Estadual";"2";"66,67"
"Brasil";"Agente de Serviços Funerários e Embalsamador";"Deputado Federal";"1";"33,33"
"Brasil";"Agente de Viagem";"Deputado Estadual";"3";"75,00"
"Brasil";"Agente de Viagem";"Deputado Federal";"1";"25,00"
"Brasil";"Agente Postal";"Deputado Distrital";"1";"7,69"
"Brasil";"Agente Postal";"Deputado Estadual";"6";"46,15"
"Brasil";"Agente Postal";"Deputado Federal";"5";"38,46"
"Brasil";"Agente Postal";"Governador";"1";"7,69"
"Brasil";"Agricultor";"Deputado Estadual";"174";"67,18"
"Brasil";"Agricultor";"Deputado Federal";"74";"28,57"
"Brasil";"Agricultor";"Senador 1º Suplente";"6";"2,32"
"Brasil";"Agricultor";"Senador 2º Suplente";"3";"1,16"
"Brasil";"Agricultor";"Vice-governador";"2";"0,77"
"Brasil";"Agrônomo";"Deputado Estadual";"21";"60,00"
"Brasil";"Agrônomo";"Deputado Federal";"8";"22,86"
"Brasil";"Agrônomo";"Governador";"1";"2,86"
"Brasil";"Agrônomo";"Senador";"1";"2,86"
"Brasil";"Agrônomo";"Senador 1º Suplente";"2";"5,71"
"Brasil";"Agrônomo";"Senador 2º Suplente";"1";"2,86"
"Brasil";"Agrônomo";"Vice-governador";"1";"2,86"
"Brasil";"Alfaiate e Costureiro";"Deputado Estadual";"3";"42,86"
"Brasil";"Alfaiate e Costureiro";"Deputado Federal";"3";"42,86"
"Brasil";"Alfaiate e Costureiro";"Senador 1º Suplente";"1";"14,29"
"Brasil";"Almoxarife";"Deputado Estadual";"4";"80,00"
"Brasil";"Almoxarife";"Senador 1º Suplente";"1";"20,00"
"Brasil";"Analista de Sistemas";"Deputado Distrital";"5";"9,80"
"Brasil";"Analista de Sistemas";"Deputado Estadual";"27";"52,94"
"Brasil";"Analista de Sistemas";"Deputado Federal";"18";"35,29"
"Brasil";"Analista de Sistemas";"Senador";"1";"1,96"
"Brasil";"Antropólogo";"Deputado Estadual";"2";"50,00"
"Brasil";"Antropólogo";"Deputado Federal";"2";"50,00"
"Brasil";"Aposentado (Exceto Servidor Público)";"Deputado Distrital";"25";"3,15"
"Brasil";"Aposentado (Exceto Servidor Público)";"Deputado Estadual";"477";"60,08"
